# Deltinha | deltinha.com.br | @odeltinha | Plataforma de estudos para concursos públicos
Data,Início,Fim,Duração,Disciplina,Assuntos,Questões,Acertos,Status,Notas
13/04/2026,18:31,18:32,1h00,,,15,6,completed,"{""gross_duration"":21,""pause_duration"":1}"
13/04/2026,05:43,13:06,1h00,,,15,13,completed,"{""gross_duration"":26547,""pause_duration"":17902}"
10/04/2026,05:33,10:19,1h20,,,103,55,completed,"{""gross_duration"":4829,""pause_duration"":2}"
04/04/2026,12:53,13:33,38min,Desafio 200Q (misto),,26,13,completed,"{""disciplina"":""Desafio 200Q (misto)"",""gross_duration"":2303,""pause_duration"":23}"
03/04/2026,06:58,07:48,50min,,,16,15,completed,
03/04/2026,06:49,07:49,1h00,Informática,1. Conceito de internet e intranet (Parte 1),0,0,completed,"{""source"":""estudo-monitorado"",""edital_id"":200,""topico_id"":""71846"",""disciplina"":""INFORMÁTICA"",""topico"":""1. Conceito de internet e intranet (Parte 1)"",""tag_id"":""837ae141-9612-441d-8e44-c382fd7c5024"",""assunto_id"":""5acceec6-175c-41b4-9019-b67586a06dcb""}"
03/04/2026,05:57,06:27,30min,Informática,1. Conceito de internet e intranet,0,0,completed,"{""source"":""estudo-monitorado"",""edital_id"":200,""topico_id"":""71846"",""disciplina"":""INFORMÁTICA"",""topico"":""1. Conceito de internet e intranet"",""tag_id"":""837ae141-9612-441d-8e44-c382fd7c5024"",""assunto_id"":""9d4390e9-f5af-44f2-ab8b-6b4153953d18""}"
03/04/2026,05:57,06:27,30min,,,0,0,completed,
01/04/2026,05:56,06:57,1h00,,,0,0,completed,"{""gross_duration"":3640,""pause_duration"":2}"
27/03/2026,20:42,21:33,50min,,,56,30,completed,"{""gross_duration"":3000}"
27/03/2026,08:00,14:00,50min,,,21,7,completed,"{""gross_duration"":4825,""pause_duration"":1825}"
26/03/2026,12:03,14:50,51min 25s,,,0,0,completed,"{""gross_duration"":10041,""pause_duration"":6956}"
25/03/2026,21:37,22:30,12min 56s,,,5,4,completed,"{""gross_duration"":3142,""pause_duration"":2366}"
25/03/2026,20:05,20:34,25min,português,,7,4,completed,"{""disciplina"":""português"",""gross_duration"":1662,""pause_duration"":162}"
25/03/2026,19:30,20:00,25min,,,10,7,completed,"{""gross_duration"":1709,""pause_duration"":209}"
23/03/2026,10:25,10:50,25min,português,,5,3,completed,"{""disciplina"":""português"",""gross_duration"":1500}"
23/03/2026,09:39,10:05,25min,,,3,1,completed,"{""gross_duration"":1500}"
22/03/2026,21:26,21:41,15min,,,3,0,completed,"{""gross_duration"":900}"
22/03/2026,15:32,15:55,15min,português,,10,3,completed,"{""disciplina"":""português"",""gross_duration"":900}"
22/03/2026,15:04,15:20,15min,,,10,0,completed,"{""gross_duration"":900}"
21/03/2026,17:00,17:38,25min,,,2,0,completed,"{""gross_duration"":2214,""pause_duration"":714}"
